question_id,review_status,answerability,expected_document_ids,validated_chunk_ids,page_precision_ok,notes
DQ001,needs_human_review,,,,,
DQ002,needs_human_review,,,,,
DQ003,needs_human_review,,,,,
DQ004,needs_human_review,,,,,
DQ005,needs_human_review,,,,,
DQ006,needs_human_review,,,,,
DQ007,needs_human_review,,,,,
DQ008,needs_human_review,,,,,
DQ009,needs_human_review,,,,,
DQ010,needs_human_review,,,,,
DQ011,needs_human_review,,,,,
DQ012,needs_human_review,,,,,
DQ013,needs_human_review,,,,,
DQ014,needs_human_review,,,,,
DQ015,needs_human_review,,,,,
DQ016,needs_human_review,,,,,
DQ017,needs_human_review,,,,,
DQ018,needs_human_review,,,,,
DQ019,needs_human_review,,,,,
DQ020,needs_human_review,,,,,
DQ021,needs_human_review,,,,,
DQ022,needs_human_review,,,,,
DQ023,needs_human_review,,,,,
DQ024,needs_human_review,,,,,
DQ025,needs_human_review,,,,,
DQ026,needs_human_review,,,,,
DQ027,needs_human_review,,,,,
DQ028,needs_human_review,,,,,
DQ029,needs_human_review,,,,,
DQ030,needs_human_review,,,,,
DQ031,needs_human_review,,,,,
DQ032,needs_human_review,,,,,
DQ033,needs_human_review,,,,,
DQ034,needs_human_review,,,,,
DQ035,needs_human_review,,,,,
DQ036,needs_human_review,,,,,
DQ037,needs_human_review,,,,,
DQ038,needs_human_review,,,,,
DQ039,needs_human_review,,,,,
DQ040,needs_human_review,,,,,
DQ041,needs_human_review,,,,,
DQ042,needs_human_review,,,,,
DQ043,needs_human_review,,,,,
DQ044,needs_human_review,,,,,
DQ045,needs_human_review,,,,,
DQ046,needs_human_review,,,,,
DQ047,needs_human_review,,,,,
DQ048,needs_human_review,,,,,
DQ049,needs_human_review,,,,,
DQ050,needs_human_review,,,,,
